antecedent,consequent,antecedent support,consequent support,support,confidence,lift,conteo
"root vegetables, tropical fruit","other vegetables, whole milk",0.026967170401250653,0.09588327253778009,0.008989056800416884,0.3333333333333333,3.476449275362319,69
herbs,root vegetables,0.020453361125586243,0.13639916623241272,0.008989056800416884,0.4394904458598726,3.222090413008961,69
"root vegetables, yogurt","other vegetables, whole milk",0.033090151120375194,0.09588327253778009,0.010031266284523188,0.3031496062992126,3.1616526874358097,77
"other vegetables, tropical fruit, whole milk",root vegetables,0.021886399166232414,0.13639916623241272,0.008989056800416884,0.4107142857142857,3.0111202073952787,69
"beef, other vegetables",root vegetables,0.025273579989577907,0.13639916623241272,0.010161542470036478,0.4020618556701031,2.947685581780049,78
"beef, whole milk",root vegetables,0.027227722772277228,0.13639916623241272,0.010291818655549765,0.37799043062200954,2.771207779803768,79
"other vegetables, pip fruit",tropical fruit,0.03348097967691506,0.13144867118290776,0.0121156852527358,0.36186770428015563,2.7529202161094894,93
"pip fruit, yogurt",tropical fruit,0.023058884835852007,0.13144867118290776,0.008207399687337155,0.3559322033898305,2.70776570190321,63
"citrus fruit, other vegetables",root vegetables,0.03699843668577384,0.13639916623241272,0.013288170922355394,0.35915492957746475,2.6331167520884615,102
"other vegetables, whole milk, yogurt",tropical fruit,0.02853048462741011,0.13144867118290776,0.009770713913496612,0.3424657534246575,2.605319250037335,75
"other vegetables, whole milk, yogurt",root vegetables,0.02853048462741011,0.13639916623241272,0.010031266284523188,0.3515981735159817,2.577714976035029,77
"other vegetables, tropical fruit, whole milk",yogurt,0.021886399166232414,0.17352787910369985,0.009770713913496612,0.44642857142857134,2.5726619476619472,75
beef,root vegetables,0.06383533090151121,0.13639916623241272,0.022277227722772276,0.34897959183673466,2.558517045786796,171
"other vegetables, tropical fruit",root vegetables,0.045987493486190724,0.13639916623241272,0.01576341844710787,0.34277620396600567,2.513037384568347,121
"citrus fruit, root vegetables",other vegetables,0.022668056279312142,0.23983845752996352,0.013288170922355394,0.5862068965517242,2.444173893498661,102
"root vegetables, tropical fruit, whole milk",other vegetables,0.015372589890568004,0.23983845752996352,0.008989056800416884,0.5847457627118644,2.438081735239691,69
"root vegetables, tropical fruit",other vegetables,0.026967170401250653,0.23983845752996352,0.01576341844710787,0.5845410628019324,2.437228244469111,121
"butter, other vegetables",root vegetables,0.02566440854611777,0.13639916623241272,0.008467952058363731,0.32994923857868025,2.4189974740496174,65
"domestic eggs, other vegetables",root vegetables,0.02853048462741011,0.13639916623241272,0.009379885356956748,0.3287671232876712,2.410330886682105,72
"root vegetables, yogurt",tropical fruit,0.033090151120375194,0.13144867118290776,0.010422094841063054,0.3149606299212599,2.3960731370422113,80
"fruit/vegetable juice, other vegetables",tropical fruit,0.026967170401250653,0.13144867118290776,0.008467952058363731,0.3140096618357488,2.3888386167009,65
"citrus fruit, other vegetables",tropical fruit,0.03699843668577384,0.13144867118290776,0.011594580510682647,0.3133802816901408,2.3840505869707838,89
"other vegetables, pork",root vegetables,0.02774882751433038,0.13639916623241272,0.008989056800416884,0.323943661971831,2.374968050903319,69
"tropical fruit, whipped/sour cream",other vegetables,0.01771756122980719,0.23983845752996352,0.010031266284523188,0.5661764705882353,2.360657571013196,77
"bottled water, yogurt",tropical fruit,0.029442417926003127,0.13144867118290776,0.009119332985930172,0.30973451327433627,2.3563152863169528,70
"cream cheese, whole milk",yogurt,0.021104742053152683,0.17352787910369985,0.008467952058363731,0.4012345679012346,2.312219627034442,65
"other vegetables, root vegetables, whole milk",tropical fruit,0.0297029702970297,0.13144867118290776,0.008989056800416884,0.3026315789473685,2.302279484638256,69
"fruit/vegetable juice, other vegetables",root vegetables,0.026967170401250653,0.13639916623241272,0.008467952058363731,0.3140096618357488,2.302137692694563,65
"fruit/vegetable juice, root vegetables",other vegetables,0.015372589890568004,0.23983845752996352,0.008467952058363731,0.5508474576271186,2.296743663631593,65
"other vegetables, pip fruit",root vegetables,0.03348097967691506,0.13639916623241272,0.010422094841063054,0.311284046692607,2.282155054835197,80
onions,root vegetables,0.038952579468473164,0.13639916623241272,0.0121156852527358,0.3110367892976589,2.2803423062548513,93
"onions, whole milk",other vegetables,0.015502866076081293,0.23983845752996352,0.008467952058363731,0.5462184873949579,2.277443296710319,65
"other vegetables, whole milk",root vegetables,0.09588327253778009,0.13639916623241272,0.0297029702970297,0.30978260869565216,2.271147377600598,228
"whipped/sour cream, yogurt",root vegetables,0.026576341844710787,0.13639916623241272,0.008207399687337155,0.3088235294117647,2.264115961570875,63
"fruit/vegetable juice, other vegetables",yogurt,0.026967170401250653,0.17352787910369985,0.010552371026576341,0.3913043478260869,2.2549941245593415,81
"pork, whole milk",root vegetables,0.02840020844189682,0.13639916623241272,0.008728504429390308,0.3073394495412844,2.253235544105921,67
"root vegetables, whole milk, yogurt",other vegetables,0.01862949452840021,0.23983845752996352,0.010031266284523188,0.5384615384615384,2.2451009066978647,77
"root vegetables, tropical fruit",yogurt,0.026967170401250653,0.17352787910369985,0.010422094841063054,0.3864734299516908,2.2271546909228066,80
"curd, whole milk",yogurt,0.03348097967691506,0.17352787910369985,0.01289734236581553,0.3852140077821012,2.2198969397412975,99
"bottled water, tropical fruit",yogurt,0.023710265763418448,0.17352787910369985,0.009119332985930172,0.3846153846153846,2.216447216447216,70
"citrus fruit, whole milk",root vegetables,0.03908285565398645,0.13639916623241272,0.011724856696195935,0.3,2.199426934097421,90
"pip fruit, root vegetables",other vegetables,0.01993225638353309,0.23983845752996352,0.010422094841063054,0.5228758169934641,2.180116660098767,80
"root vegetables, whipped/sour cream",yogurt,0.021886399166232414,0.17352787910369985,0.008207399687337155,0.375,2.161036036036036,63
"root vegetables, shopping bags",other vegetables,0.01641479937467431,0.23983845752996352,0.008467952058363731,0.5158730158730159,2.1509186691153017,65
"pork, root vegetables",other vegetables,0.017457008858780616,0.23983845752996352,0.008989056800416884,0.5149253731343284,2.146967498196146,69
"butter, root vegetables",other vegetables,0.016545075560187597,0.23983845752996352,0.008467952058363731,0.5118110236220472,2.1339823016419524,65
"domestic eggs, root vegetables",other vegetables,0.01836894215737363,0.23983845752996352,0.009379885356956748,0.5106382978723405,2.1290926531602854,72
"butter, whipped/sour cream",whole milk,0.013027618551328817,0.3116206357477853,0.008598228243877019,0.6599999999999999,2.1179598662207355,66
"tropical fruit, whole milk, yogurt",other vegetables,0.019411151641479937,0.23983845752996352,0.009770713913496612,0.5033557046979865,2.0987280767309855,75
"rolls/buns, root vegetables",other vegetables,0.031136008337675873,0.23983845752996352,0.015633142261594582,0.5020920502092051,2.0934593033165987,120
"root vegetables, yogurt",other vegetables,0.033090151120375194,0.23983845752996352,0.016545075560187597,0.5,2.084736556219446,127
"root vegetables, whipped/sour cream",other vegetables,0.021886399166232414,0.23983845752996352,0.010943199583116207,0.5,2.084736556219446,84
"tropical fruit, whole milk",yogurt,0.05419489317352788,0.17352787910369985,0.019411151641479937,0.35817307692307687,2.0640664703164697,149
"butter, yogurt",whole milk,0.018759770713913496,0.3116206357477853,0.011985409067222511,0.6388888888888888,2.050213675213675,92
"rolls/buns, tropical fruit",yogurt,0.03152683689421574,0.17352787910369985,0.011203751954142784,0.3553719008264463,2.0479239570148664,86
"butter, root vegetables",whole milk,0.016545075560187597,0.3116206357477853,0.010552371026576341,0.6377952755905512,2.046704237221183,81
"fruit/vegetable juice, whole milk",yogurt,0.0341323606044815,0.17352787910369985,0.0121156852527358,0.35496183206106874,2.0455608280035764,93
"whipped/sour cream, yogurt",other vegetables,0.026576341844710787,0.23983845752996352,0.013027618551328817,0.49019607843137253,2.043859368842594,100
"curd, tropical fruit",whole milk,0.013157894736842105,0.3116206357477853,0.008337675872850442,0.6336633663366337,2.0334448160535117,64
"other vegetables, whipped/sour cream",yogurt,0.03699843668577384,0.17352787910369985,0.013027618551328817,0.352112676056338,2.029141817874212,100
herbs,other vegetables,0.020453361125586243,0.23983845752996352,0.009900990099009901,0.4840764331210191,2.0183436722634127,76
"fruit/vegetable juice, tropical fruit",other vegetables,0.017587285044293903,0.23983845752996352,0.008467952058363731,0.4814814814814815,2.0075240911742815,65
"chicken, whole milk",other vegetables,0.022537780093798854,0.23983845752996352,0.010812923397602918,0.4797687861271676,2.0003830539446708,83
"other vegetables, tropical fruit, yogurt",whole milk,0.01576341844710787,0.3116206357477853,0.009770713913496612,0.6198347107438016,1.989068244008955,75
"root vegetables, whole milk",other vegetables,0.06266284523189161,0.23983845752996352,0.0297029702970297,0.474012474012474,1.9763822653556493,228
"other vegetables, tropical fruit",yogurt,0.045987493486190724,0.17352787910369985,0.01576341844710787,0.34277620396600567,1.975337944176471,121
"frozen vegetables, whole milk",other vegetables,0.02618551328817092,0.23983845752996352,0.012376237623762377,0.472636815920398,1.9706464959288295,95
"butter, whole milk",yogurt,0.0353048462741011,0.17352787910369985,0.011985409067222511,0.3394833948339483,1.9563622663253657,92
onions,other vegetables,0.038952579468473164,0.23983845752996352,0.018238665971860343,0.46822742474916385,1.9522616579981433,140
"domestic eggs, tropical fruit",whole milk,0.014590932777488274,0.3116206357477853,0.008858780614903595,0.6071428571428571,1.9483397037744863,68
"other vegetables, root vegetables, whole milk",yogurt,0.0297029702970297,0.17352787910369985,0.010031266284523188,0.33771929824561403,1.946196196196196,77
"other vegetables, root vegetables, yogurt",whole milk,0.016545075560187597,0.3116206357477853,0.010031266284523188,0.6062992125984252,1.9456324230374213,77
"whipped/sour cream, whole milk",yogurt,0.04129755080771235,0.17352787910369985,0.013939551849921834,0.33753943217665616,1.9451596707117211,107
"citrus fruit, whole milk",yogurt,0.03908285565398645,0.17352787910369985,0.013157894736842105,0.33666666666666667,1.9401301301301301,101
